      Date : 30.Aug.2019                                Time : 9:44:52 AM

                            Input Data : PV
                            Controller : Proportional Control
                            Set Point  : 15.00
                                    kp : 3.00

     TIME (Sec)        PV (CM)     PV (Volts)      CP (in %)     Error(in%)     

           5.70          14.71           2.94          53.53           1.18
           5.82           0.00            0.0         100.00           60.0
           5.95           0.00            0.0         100.00           60.0
           6.07           0.00            0.0         100.00           60.0
           6.19           0.00            0.0         100.00           60.0
           6.32           0.00            0.0         100.00           60.0
           6.44           0.00            0.0         100.00           60.0
           6.57           0.00            0.0         100.00           60.0
           6.69           0.00            0.0         100.00           60.0
           6.82           0.00            0.0         100.00           60.0
           6.94           0.00            0.0         100.00           60.0
           7.07           0.00            0.0         100.00           60.0
           7.19           0.00            0.0         100.00           60.0
           7.32           0.00            0.0         100.00           60.0
           7.44           0.00            0.0         100.00           60.0
           7.57           0.00            0.0         100.00           60.0
           7.69           0.00            0.0         100.00           60.0
           7.82           0.00            0.0         100.00           60.0
           7.94           0.00            0.0         100.00           60.0
           8.07           0.00            0.0         100.00           60.0
           8.19           0.00            0.0         100.00           60.0
           8.32           0.00            0.0         100.00           60.0
           8.44           0.00            0.0         100.00           60.0
           8.57           0.00            0.0         100.00           60.0
           8.69           0.00            0.0         100.00           60.0
           8.81           0.00            0.0         100.00           60.0
           8.94           0.00            0.0         100.00           60.0
           9.06           0.00            0.0         100.00           60.0
           9.19           0.00            0.0         100.00           60.0
           9.31           0.00            0.0         100.00           60.0
           9.44           0.00            0.0         100.00           60.0
           9.56           0.00            0.0         100.00           60.0
           9.69           0.00            0.0         100.00           60.0
           9.81           0.00            0.0         100.00           60.0
           9.94           0.00            0.0         100.00           60.0
          10.06           0.00            0.0         100.00           60.0
          10.19           0.00            0.0         100.00           60.0
          10.31           0.00            0.0         100.00           60.0
          10.44           0.00            0.0         100.00           60.0
          10.56           0.00            0.0         100.00           60.0
          10.69           0.00            0.0         100.00           60.0
          10.81           0.00            0.0         100.00           60.0
          10.94           0.00            0.0         100.00           60.0
          11.06           0.00            0.0         100.00           60.0
          11.18           0.00            0.0         100.00           60.0
          11.31           0.00            0.0         100.00           60.0
          11.43           0.00            0.0         100.00           60.0
          11.56           0.00            0.0         100.00           60.0
          11.68           0.00            0.0         100.00           60.0
          11.81           0.00            0.0         100.00           60.0
          11.93           0.00            0.0         100.00           60.0
          12.06           0.00            0.0         100.00           60.0
          12.18           0.00            0.0         100.00           60.0
          12.31           0.00            0.0         100.00           60.0
          12.43           0.00            0.0         100.00           60.0
          12.56           0.00            0.0         100.00           60.0
          12.68           0.00            0.0         100.00           60.0
          12.81           0.00            0.0         100.00           60.0
          12.93           0.00            0.0         100.00           60.0
          13.06           0.00            0.0         100.00           60.0
          13.18           0.00            0.0         100.00           60.0
          13.31           0.00            0.0         100.00           60.0
          13.43           0.00            0.0         100.00           60.0
          13.56           0.00            0.0         100.00           60.0
          13.68           0.00            0.0         100.00           60.0
          13.80           0.00            0.0         100.00           60.0
          13.93           0.00            0.0         100.00           60.0
          14.05           0.00            0.0         100.00           60.0
          14.18           0.00            0.0         100.00           60.0
          14.30           0.00            0.0         100.00           60.0
          14.43           0.00            0.0         100.00           60.0
          14.55           0.00            0.0         100.00           60.0
          14.68           0.00            0.0         100.00           60.0
          14.80           0.00            0.0         100.00           60.0
          14.93           0.00            0.0         100.00           60.0
          15.05           0.00            0.0         100.00           60.0
          15.18           0.00            0.0         100.00           60.0
          15.30           0.00            0.0         100.00           60.0
          15.45           0.00            0.0         100.00           60.0
          15.57           0.00            0.0         100.00           60.0
          15.71           0.10           0.02         100.00          59.61
          15.85           0.10           0.02         100.00          59.61
          15.98           0.20           0.04         100.00          59.22
          16.13           0.20           0.04         100.00          59.22
          16.27           0.29           0.06         100.00          58.82
          16.41           0.39           0.08         100.00          58.43
          16.54           0.39           0.08         100.00          58.43
          16.66           0.49            0.1         100.00          58.04
          16.79           0.49            0.1         100.00          58.04
          16.91           0.49            0.1         100.00          58.04
          17.04           0.59           0.12         100.00          57.65
          17.18           0.69           0.14         100.00          57.25
          17.30           0.78           0.16         100.00          56.86
          17.44           0.78           0.16         100.00          56.86
          17.58           0.88           0.18         100.00          56.47
          17.71           0.98            0.2         100.00          56.08
          17.85           1.08           0.22         100.00          55.69
          17.97           1.18           0.24         100.00          55.29
