      Date : 30.Aug.2019                                Time : 9:50:25 AM

                            Input Data : PV
                            Controller : P&D Control
                            Set Point  : 15.00
                                    kp : 03.00
                                    kd : 0.01

     TIME (Sec)        PV (CM)     PV (Volts)      CP (in %)     Error(in%)     

          23.29          13.53           2.71          67.47           5.88
          23.41           0.00            0.0         100.00           60.0
          23.54           0.00            0.0         100.00           60.0
          23.66           0.00            0.0         100.00           60.0
          23.79           0.00            0.0         100.00           60.0
          23.91           0.00            0.0         100.00           60.0
          24.04           0.00            0.0         100.00           60.0
          24.16           0.00            0.0         100.00           60.0
          24.29           0.00            0.0         100.00           60.0
          24.41           0.00            0.0         100.00           60.0
          24.54           0.00            0.0         100.00           60.0
          24.66           0.00            0.0         100.00           60.0
          24.79           0.00            0.0         100.00           60.0
          24.91           0.00            0.0         100.00           60.0
          25.04           0.00            0.0         100.00           60.0
          25.16           0.00            0.0         100.00           60.0
          25.29           0.00            0.0         100.00           60.0
          25.41           0.00            0.0         100.00           60.0
          25.54           0.00            0.0         100.00           60.0
          25.66           0.00            0.0         100.00           60.0
          25.79           0.00            0.0         100.00           60.0
          25.91           0.00            0.0         100.00           60.0
          26.04           0.00            0.0         100.00           60.0
          26.16           0.00            0.0         100.00           60.0
          26.29           0.00            0.0         100.00           60.0
          26.41           0.00            0.0         100.00           60.0
          26.54           0.00            0.0         100.00           60.0
          26.66           0.00            0.0         100.00           60.0
          26.79           0.00            0.0         100.00           60.0
          26.91           0.00            0.0         100.00           60.0
          27.04           0.00            0.0         100.00           60.0
          27.16           0.00            0.0         100.00           60.0
          27.29           0.00            0.0         100.00           60.0
          27.41           0.00            0.0         100.00           60.0
          27.53           0.00            0.0         100.00           60.0
          27.66           0.00            0.0         100.00           60.0
          27.78           0.00            0.0         100.00           60.0
          27.91           0.00            0.0         100.00           60.0
          28.03           0.00            0.0         100.00           60.0
          28.16           0.00            0.0         100.00           60.0
          28.28           0.00            0.0         100.00           60.0
          28.41           0.00            0.0         100.00           60.0
          28.53           0.00            0.0         100.00           60.0
          28.66           0.00            0.0         100.00           60.0
          28.78           0.00            0.0         100.00           60.0
          28.91           0.00            0.0         100.00           60.0
          29.03           0.00            0.0         100.00           60.0
          29.16           0.00            0.0         100.00           60.0
          29.28           0.00            0.0         100.00           60.0
          29.41           0.00            0.0         100.00           60.0
          29.53           0.00            0.0         100.00           60.0
          29.66           0.00            0.0         100.00           60.0
          29.78           0.00            0.0         100.00           60.0
          29.91           0.00            0.0         100.00           60.0
          30.03           0.00            0.0         100.00           60.0
          30.15           0.00            0.0         100.00           60.0
          30.28           0.00            0.0         100.00           60.0
          30.40           0.00            0.0         100.00           60.0
          30.53           0.00            0.0         100.00           60.0
          30.65           0.00            0.0         100.00           60.0
          30.78           0.00            0.0         100.00           60.0
          30.90           0.00            0.0         100.00           60.0
          31.03           0.00            0.0         100.00           60.0
          31.15           0.00            0.0         100.00           60.0
          31.28           0.00            0.0         100.00           60.0
          31.40           0.00            0.0         100.00           60.0
          31.53           0.00            0.0         100.00           60.0
          31.65           0.00            0.0         100.00           60.0
          31.78           0.00            0.0         100.00           60.0
          31.90           0.00            0.0         100.00           60.0
          32.03           0.00            0.0         100.00           60.0
          32.17           0.00            0.0         100.00           60.0
          32.29           0.00            0.0         100.00           60.0
          32.41           0.00            0.0         100.00           60.0
          32.54           0.00            0.0         100.00           60.0
          32.66           0.00            0.0         100.00           60.0
          32.79           0.00            0.0         100.00           60.0
          32.91           0.00            0.0         100.00           60.0
          33.04           0.00            0.0         100.00           60.0
          33.16           0.00            0.0         100.00           60.0
          33.29           0.00            0.0         100.00           60.0
          33.41           0.00            0.0         100.00           60.0
          33.54           0.00            0.0         100.00           60.0
          33.66           0.00            0.0         100.00           60.0
          33.79           0.10           0.02         100.00          59.61
          33.91           0.20           0.04         100.00          59.22
          34.04           0.20           0.04         100.00          59.22
          34.18           0.20           0.04         100.00          59.22
          34.32           0.29           0.06         100.00          58.82
          34.46           0.29           0.06         100.00          58.82
          34.60           0.39           0.08         100.00          58.43
          34.74           0.39           0.08         100.00          58.43
          34.88           0.49            0.1         100.00          58.04
          35.00           0.49            0.1         100.00          58.04
          35.13           0.59           0.12         100.00          57.65
          35.25           0.59           0.12         100.00          57.65
          35.39           0.69           0.14         100.00          57.25
          35.52           0.69           0.14         100.00          57.25
          35.66           0.78           0.16         100.00          56.86
          35.79           0.88           0.18         100.00          56.47
          35.91           0.88           0.18         100.00          56.47
          36.04           0.98            0.2         100.00          56.08
          36.16           1.08           0.22         100.00          55.69
          36.29           1.08           0.22         100.00          55.69
          36.41           1.18           0.24         100.00          55.29
          36.54           1.18           0.24         100.00          55.29
          36.66           1.27           0.25         100.00           54.9
          36.79           1.27           0.25         100.00           54.9
          36.91           1.27           0.25         100.00           54.9
          37.04           1.37           0.27         100.00          54.51
          37.16           1.37           0.27         100.00          54.51
          37.28           1.47           0.29         100.00          54.12
          37.42           1.47           0.29         100.00          54.12
          37.55           1.47           0.29         100.00          54.12
