      Date : 27.Aug.2019                                Time : 1:11:54 PM

                            Input Data : PV
                            Controller : P&I Control
                            Set Point  : 15.00
                                    kp : 2.00
                                    ki : 0.01

     TIME (Sec)        PV (CM)     PV (Volts)      CP (in %)     Error(in%)     

           3.84           0.10           0.02         100.00          59.61
           3.96           0.00            0.0         100.00           60.0
           4.09           0.00            0.0         100.00           60.0
           4.21           0.00            0.0         100.00           60.0
           4.34           0.00            0.0         100.00           60.0
           4.46           0.00            0.0         100.00           60.0
           4.59           0.00            0.0         100.00           60.0
           4.71           0.00            0.0         100.00           60.0
           4.84           0.00            0.0         100.00           60.0
           4.98           0.00            0.0         100.00           60.0
           5.10           0.00            0.0         100.00           60.0
           5.23           0.00            0.0         100.00           60.0
           5.35           0.00            0.0         100.00           60.0
           5.48           0.00            0.0         100.00           60.0
           5.60           0.00            0.0         100.00           60.0
           5.75           0.00            0.0         100.00           60.0
           5.88           0.00            0.0         100.00           60.0
           6.00           0.00            0.0         100.00           60.0
           6.13           0.00            0.0         100.00           60.0
           6.25           0.00            0.0         100.00           60.0
           6.38           0.00            0.0         100.00           60.0
           6.50           0.00            0.0         100.00           60.0
           6.63           0.00            0.0         100.00           60.0
           6.75           0.00            0.0         100.00           60.0
           6.88           0.00            0.0         100.00           60.0
           7.00           0.00            0.0         100.00           60.0
           7.13           0.00            0.0         100.00           60.0
           7.25           0.00            0.0         100.00           60.0
           7.38           0.00            0.0         100.00           60.0
           7.50           0.00            0.0         100.00           60.0
           7.63           0.00            0.0         100.00           60.0
           7.75           0.00            0.0         100.00           60.0
           7.88           0.00            0.0         100.00           60.0
           8.00           0.00            0.0         100.00           60.0
           8.13           0.00            0.0         100.00           60.0
           8.25           0.00            0.0         100.00           60.0
           8.38           0.00            0.0         100.00           60.0
           8.50           0.00            0.0         100.00           60.0
           8.63           0.00            0.0         100.00           60.0
           8.75           0.00            0.0         100.00           60.0
           8.88           0.00            0.0         100.00           60.0
           9.00           0.00            0.0         100.00           60.0
           9.13           0.00            0.0         100.00           60.0
           9.25           0.00            0.0         100.00           60.0
           9.38           0.00            0.0         100.00           60.0
           9.50           0.00            0.0         100.00           60.0
           9.63           0.00            0.0         100.00           60.0
           9.75           0.00            0.0         100.00           60.0
           9.88           0.00            0.0         100.00           60.0
          10.00           0.00            0.0         100.00           60.0
          10.12           0.00            0.0         100.00           60.0
          10.25           0.00            0.0         100.00           60.0
          10.37           0.00            0.0         100.00           60.0
          10.50           0.00            0.0         100.00           60.0
          10.62           0.00            0.0         100.00           60.0
          10.75           0.00            0.0         100.00           60.0
          10.87           0.00            0.0         100.00           60.0
          11.00           0.00            0.0         100.00           60.0
          11.12           0.00            0.0         100.00           60.0
          11.25           0.00            0.0         100.00           60.0
          11.37           0.00            0.0         100.00           60.0
          11.51           0.00            0.0         100.00           60.0
          11.64           0.00            0.0         100.00           60.0
          11.78           0.10           0.02         100.00          59.61
          11.92           0.10           0.02         100.00          59.61
          12.06           0.20           0.04         100.00          59.22
          12.20           0.20           0.04         100.00          59.22
          12.32           0.29           0.06         100.00          58.82
          12.45           0.29           0.06         100.00          58.82
          12.57           0.39           0.08         100.00          58.43
          12.71           0.39           0.08         100.00          58.43
          12.84           0.49            0.1         100.00          58.04
          12.98           0.49            0.1         100.00          58.04
          13.12           0.49            0.1         100.00          58.04
          13.24           0.59           0.12         100.00          57.65
          13.37           0.69           0.14         100.00          57.25
          13.51           0.69           0.14         100.00          57.25
          13.65           0.78           0.16         100.00          56.86
          13.77           0.88           0.18         100.00          56.47
          13.90           0.88           0.18         100.00          56.47
          14.02           0.98            0.2         100.00          56.08
          14.15           1.08           0.22         100.00          55.69
          14.27           1.08           0.22         100.00          55.69
          14.40           1.18           0.24         100.00          55.29
          14.52           1.18           0.24         100.00          55.29
          14.65           1.27           0.25         100.00           54.9
          14.77           1.27           0.25         100.00           54.9
          14.90           1.37           0.27         100.00          54.51
          15.02           1.37           0.27         100.00          54.51
          15.15           1.47           0.29         100.00          54.12
          15.27           1.57           0.31         100.00          53.73
          15.41           1.67           0.33         100.00          53.33
          15.54           1.76           0.35         100.00          52.94
          15.66           1.86           0.37         100.00          52.55
          15.79           1.96           0.39         100.00          52.16
          15.91           2.06           0.41         100.00          51.76
          16.04           2.16           0.43         100.00          51.37
          16.16           2.25           0.45         100.00          50.98
          16.29           2.35           0.47         100.00          50.59
          16.41           2.45           0.49         100.00           50.2
          16.54           2.45           0.49         100.00           50.2
          16.66           2.55           0.51         100.00           49.8
          16.79           2.65           0.53         100.00          49.41
          16.91           2.75           0.55         100.00          49.02
          17.04           2.84           0.57         100.00          48.63
          17.16           2.84           0.57         100.00          48.63
          17.29           2.94           0.59         100.00          48.24
          17.41           3.04           0.61         100.00          47.84
          17.53           3.14           0.63         100.00          47.45
          17.66           3.24           0.65         100.00          47.06
          17.78           3.33           0.67         100.00          46.67
          17.91           3.33           0.67         100.00          46.67
          18.03           3.43           0.69         100.00          46.27
          18.16           3.53           0.71         100.00          45.88
          18.28           3.63           0.73         100.00          45.49
          18.41           3.73           0.75         100.00           45.1
          18.53           3.82           0.76         100.00          44.71
          18.66           3.92           0.78         100.00          44.31
          18.78           4.02            0.8         100.00          43.92
          18.91           4.12           0.82         100.00          43.53
          19.03           4.12           0.82         100.00          43.53
          19.16           4.22           0.84         100.00          43.14
          19.28           4.31           0.86         100.00          42.75
          19.42           4.41           0.88         100.00          42.35
          19.56           4.51            0.9         100.00          41.96
          19.70           4.61           0.92         100.00          41.57
          19.84           4.71           0.94         100.00          41.18
          19.96           4.80           0.96         100.00          40.78
          20.09           4.90           0.98         100.00          40.39
          20.23           5.00            1.0         100.00           40.0
          20.37           5.10           1.02         100.00          39.61
          20.50           5.20           1.04         100.00          39.22
          20.64           5.29           1.06         100.00          38.82
          20.78           5.39           1.08         100.00          38.43
          20.92           5.49            1.1         100.00          38.04
          21.04           5.59           1.12         100.00          37.65
          21.18           5.69           1.14         100.00          37.25
          21.32           5.78           1.16         100.00          36.86
          21.46           5.88           1.18         100.00          36.47
          21.59           5.98            1.2         100.00          36.08
          21.71           6.08           1.22         100.00          35.69
          21.84           6.18           1.24         100.00          35.29
          21.96           6.27           1.25         100.00           34.9
          22.09           6.37           1.27         100.00          34.51
          22.21           6.47           1.29         100.00          34.12
