      Date : 06.Sep.2019                                Time : 9:39:58 AM

                            Input Data : PV
                            Controller : PID Control
                            Set Point  : 15.00
                                    kp : 2.00
                                    ki : 0.01
                                    kd : 0.01

     TIME (Sec)        PV (CM)     PV (Volts)      CP (in %)     Error(in%)     

           8.14          10.69           2.14          84.86          17.25
           8.27           0.00            0.0         100.00           60.0
           8.39           0.00            0.0         100.00           60.0
           8.52           0.00            0.0         100.00           60.0
           8.66           0.00            0.0         100.00           60.0
           8.78           0.00            0.0         100.00           60.0
           8.91           0.00            0.0         100.00           60.0
           9.05           0.00            0.0         100.00           60.0
           9.17           0.00            0.0         100.00           60.0
           9.30           0.00            0.0         100.00           60.0
           9.42           0.00            0.0         100.00           60.0
           9.55           0.00            0.0         100.00           60.0
           9.67           0.00            0.0         100.00           60.0
           9.80           0.00            0.0         100.00           60.0
           9.92           0.00            0.0         100.00           60.0
          10.05           0.00            0.0         100.00           60.0
          10.17           0.00            0.0         100.00           60.0
          10.30           0.00            0.0         100.00           60.0
          10.42           0.00            0.0         100.00           60.0
          10.54           0.00            0.0         100.00           60.0
          10.67           0.00            0.0         100.00           60.0
          10.79           0.00            0.0         100.00           60.0
          10.92           0.00            0.0         100.00           60.0
          11.04           0.00            0.0         100.00           60.0
          11.17           0.00            0.0         100.00           60.0
          11.29           0.00            0.0         100.00           60.0
          11.42           0.00            0.0         100.00           60.0
          11.54           0.00            0.0         100.00           60.0
          11.67           0.00            0.0         100.00           60.0
          11.79           0.00            0.0         100.00           60.0
          11.92           0.00            0.0         100.00           60.0
          12.04           0.00            0.0         100.00           60.0
          12.17           0.00            0.0         100.00           60.0
          12.29           0.00            0.0         100.00           60.0
          12.42           0.00            0.0         100.00           60.0
          12.54           0.00            0.0         100.00           60.0
          12.67           0.00            0.0         100.00           60.0
          12.79           0.00            0.0         100.00           60.0
          12.92           0.00            0.0         100.00           60.0
          13.04           0.00            0.0         100.00           60.0
          13.16           0.00            0.0         100.00           60.0
          13.29           0.00            0.0         100.00           60.0
          13.41           0.00            0.0         100.00           60.0
