      Date : 30.Aug.2019                                Time : 10:00:23 AM

                            Input Data : PV
                            Controller : ON/OFF Control
                            Set Point  : 15.00
                            Diff. Gap  : 10.00

     TIME (Sec)        PV (CM)     PV (Volts)      CP (in %)     Error(in%)     

          15.02          12.25           2.45           0.00          10.98
          15.15           0.00            0.0         100.00           60.0
          15.27           0.00            0.0         100.00           60.0
          15.39           0.00            0.0         100.00           60.0
          15.52           0.00            0.0         100.00           60.0
          15.64           0.00            0.0         100.00           60.0
          15.77           0.00            0.0         100.00           60.0
          15.89           0.00            0.0         100.00           60.0
          16.02           0.00            0.0         100.00           60.0
          16.14           0.00            0.0         100.00           60.0
          16.27           0.00            0.0         100.00           60.0
          16.39           0.00            0.0         100.00           60.0
          16.52           0.00            0.0         100.00           60.0
          16.64           0.00            0.0         100.00           60.0
          16.77           0.00            0.0         100.00           60.0
          16.89           0.00            0.0         100.00           60.0
          17.02           0.00            0.0         100.00           60.0
          17.14           0.00            0.0         100.00           60.0
          17.27           0.00            0.0         100.00           60.0
          17.39           0.00            0.0         100.00           60.0
          17.52           0.00            0.0         100.00           60.0
          17.64           0.00            0.0         100.00           60.0
          17.77           0.00            0.0         100.00           60.0
          17.89           0.00            0.0         100.00           60.0
          18.02           0.00            0.0         100.00           60.0
          18.14           0.00            0.0         100.00           60.0
          18.27           0.00            0.0         100.00           60.0
          18.39           0.00            0.0         100.00           60.0
          18.52           0.00            0.0         100.00           60.0
          18.64           0.00            0.0         100.00           60.0
          18.77           0.00            0.0         100.00           60.0
          18.89           0.00            0.0         100.00           60.0
          19.02           0.00            0.0         100.00           60.0
          19.14           0.00            0.0         100.00           60.0
          19.27           0.00            0.0         100.00           60.0
          19.39           0.00            0.0         100.00           60.0
          19.52           0.00            0.0         100.00           60.0
          19.64           0.00            0.0         100.00           60.0
          19.77           0.00            0.0         100.00           60.0
          19.89           0.00            0.0         100.00           60.0
          20.02           0.00            0.0         100.00           60.0
          20.14           0.00            0.0         100.00           60.0
          20.26           0.00            0.0         100.00           60.0
          20.39           0.00            0.0         100.00           60.0
          20.51           0.00            0.0         100.00           60.0
          20.64           0.00            0.0         100.00           60.0
          20.76           0.00            0.0         100.00           60.0
          20.89           0.00            0.0         100.00           60.0
          21.01           0.00            0.0         100.00           60.0
          21.14           0.00            0.0         100.00           60.0
          21.26           0.00            0.0         100.00           60.0
          21.39           0.00            0.0         100.00           60.0
          21.51           0.00            0.0         100.00           60.0
          21.64           0.00            0.0         100.00           60.0
          21.78           0.00            0.0         100.00           60.0
          21.92           0.00            0.0         100.00           60.0
          22.04           0.00            0.0         100.00           60.0
          22.18           0.00            0.0         100.00           60.0
          22.32           0.00            0.0         100.00           60.0
          22.45           0.00            0.0         100.00           60.0
          22.59           0.00            0.0         100.00           60.0
          22.71           0.00            0.0         100.00           60.0
          22.85           0.00            0.0         100.00           60.0
          22.99           0.00            0.0         100.00           60.0
          23.12           0.00            0.0         100.00           60.0
          23.24           0.00            0.0         100.00           60.0
          23.38           0.00            0.0         100.00           60.0
          23.51           0.00            0.0         100.00           60.0
          23.65           0.00            0.0         100.00           60.0
          23.79           0.00            0.0         100.00           60.0
          23.93           0.00            0.0         100.00           60.0
